Subject,Start Date
Igaram,12/06
Ikaros Much,01/13
Inazuma,08/03
Indigo,12/05
Inuarashi,10/11
Islewan,01/01
Isshily,05/04
Itomimizu,01/11
Izo,10/13
Jabra,06/05
Jaguar D. Saulo,03/06
Jalmack,11/09
Jean Bart,04/06
Jesus Burgess,12/25
Jerry,02/22
Jewelry Bonney,09/01
Jinbe,04/02
John Giant,05/19
Jora,01/25
Jozu,11/11
Kadar,07/29
Kaku,08/07
Kaido,05/01
Kalifa,04/23
Kamakiri,07/10
Kanjuro,07/21
Karma,06/06
Kashi,04/01
Kashigami,11/04
Kaya,08/08
Keimi,11/03
Kiwi,09/01
Kin’emon,01/15
Kingdew,11/13
Killer,02/02
Kizaru (Borsalino),11/23
Koala,10/25
Kohza,05/26
Kokoro,10/05
Kong,05/09
Krieg,09/19
Kuina,09/17
Kumadori,02/20
Kumashi,09/04
Kuro,04/22
Kuroobi,10/25
Kuzan,09/21
Kyros,09/22
Laboon,09/16
Lacroix,06/08
Lacuba,05/31
Lafitte,03/13
Lao G,10/07
Laki,07/07
Leo,07/24
Lieu. Spacey,03/21
Little Oars Jr.,02/12
Lola,01/27
Lord of the Earth,08/04
Lord of the Forest,04/04
Lucky Roo,07/06
Machvise,08/13
Macro,09/06
Magellan,10/09
Magra,10/20
Makino,02/23
Manboshi,03/30
Marco,10/05
Marguerite,04/09
Marshall D. Teach,08/03
Masira,03/04
McGuy,09/03
Megalo,04/08
Mikazuki,02/10
Minister of the Left,07/02
Minister of the Right,04/05
Minokoala,03/05
Minorhinoceros,03/01
Minotaurus,03/04
Minozebra,03/07
Miss Father’s Day,06/21
Miss Goldenweek,04/29
Miss Valentine,02/14
Moda,06/01
Mohji,10/01
Mohmoo,04/09
Momonga,06/06
Monda,04/03
Monet,08/27
Monkey D. Dragon,10/05
Monkey D. Garp,05/02
Monkey D. Luffy,05/05
Montblanc Cricket,09/11
Montblanc Noland,10/09
Morgan,04/13
Mousse,06/03
Motobaro,08/19
Mozu,01/07
Mr. 5,07/26
Nami,07/03
Namur,07/06
Nekomamushi,11/22
Nefeltari Cobra,02/13
Nefeltari Vivi,02/02
Neptune,07/03
Nero,01/26
Nico Robin,02/06
Nico Olivia,02/06
Nola,03/10
Nojiko,07/25
Oars,10/04
Octopako,08/05
Ohm,03/25
Oimo,01/06
Onigumo,02/08
Otohime,01/10
Palms,03/11
Pandaman,02/29
Pappug,09/21
Paulie,07/08
Pedro,06/16
Peeply Lulu,01/02
Pell,08/23
Pekoms,04/11
Penguin,04/25
Perona,06/07
Peterman,01/04
Pica,12/14
Pickles,01/09
Pierre,10/08
Porche,11/16
Porchemi,04/03
Portgas D. Ace,01/01
Portgas D. Rouge,06/10
Rakuyo,09/08
Rampo,07/10
Ran,11/24
Rebecca,08/04
Richie,07/21
Riku Dold III,06/27
Rindo,09/16
Rob Lucci,06/02
Rockstar,06/09
Ronse,06/02
Roronoa Zoro,11/11
Roswald,06/28
Ryuuboshi,06/24
Ryuuma,11/06
Sabo,03/20
Sadi-chan,03/05
Sai,08/13
Sakazuki,08/16
Saldeath,06/08
Salome,03/06
Satori,03/10
Scarlet,10/28
Scratchmen Apoo,03/19
Sengoku,05/09
Senor Pink,06/12
Sentomaru,03/10
Seto,07/16
Shachi,04/07
Shakuyaku (Shakky),05/08
Shalulia,03/29
Shanks,03/09
Sherrie,10/31
Shiki,03/20
Shilliew,06/11
Shirahoshi,04/04
Shura,09/20
Shyarley,09/09
Silvers Rayleigh,05/13
Smoker,03/14
Sodom,08/06
Spandam,03/11
Splash,01/18
Splatter,01/18
Spandine,01/19
Speed Jiru,04/06
Spoil,09/15
Squard,09/06
Stelly,03/12
Strawberry,01/05
Stronger,04/16
Sugar,10/22
Surume,06/09
Suu,09/24
Sweet Pea,01/14
T-Bone,09/10
Taroimo,10/16
Tashigi,10/06
Terracotta,09/25
Thatch,03/24
Tilestone,01/06
Tom,03/16
Tonjit,10/02
Tony Tony Chopper,12/24
Toto,06/17
Trafalgar Law,10/06
Trebol,03/18
Tsukimi,08/15
Tsuru,03/26
Tyrannosaurus,10/20
Urouge,08/01
Usopp,04/01
Van Augur,10/05
Vander Decken IX,08/22
Vasco Shot,08/05
Vegapunk,08/09
Vergo,07/05
Verygood,09/10
Vinsmoke Ichiji,03/02
Vinsmoke Niji,03/02
Vinsmoke Reiju,11/11
Vinsmoke Sora,07/09
Vinsmoke Sanji,03/02
Vinsmoke Yonji,03/02
Viola (Violet),04/30
Vista,02/05
Wadatsumi,02/09
Wanze,09/04
Wapol,08/09
Whitey Bay,10/31
Wiper,08/18
Woop Slap,02/28
X (Diez) Drake,10/24
Yama,10/03
Yamakaji,04/05
Yasopp,08/02
Yorki,04/09
Zambia,03/08
Zeff,04/02
Zeo,11/11
